date,sentiment_score,avg_polarity,total_articles,positive,slightly_positive,slightly_negative,negative,positive_pct,slightly_positive_pct,slightly_negative_pct,negative_pct,bullish_pct,bearish_pct
2023-03-22,30.0,0.0157,10,2,6,0,2,20.0,60.0,0.0,20.0,80.0,20.0
2023-03-23,27.77777777777778,-0.01357777777777778,9,2,5,0,2,22.22222222222222,55.55555555555556,0.0,22.22222222222222,77.77777777777779,22.22222222222222
2023-03-24,55.55555555555556,0.18818888888888888,9,3,5,1,0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,88.88888888888889,11.11111111111111
2023-03-25,58.333333333333336,0.24513333333333331,6,3,2,1,0,50.0,33.33333333333333,16.666666666666664,0.0,83.33333333333334,16.666666666666664
2023-03-26,45.0,0.060160000000000005,10,2,7,0,1,20.0,70.0,0.0,10.0,90.0,10.0
2023-03-27,15.0,0.04775,10,2,4,3,1,20.0,40.0,30.0,10.0,60.0,40.0
2023-03-28,15.0,0.02554999999999999,10,2,4,3,1,20.0,40.0,30.0,10.0,60.0,40.0
2023-03-29,30.0,0.11511,10,4,3,1,2,40.0,30.0,10.0,20.0,70.0,30.0
2023-03-30,22.22222222222222,0.06005555555555556,9,4,2,0,3,44.44444444444444,22.22222222222222,0.0,33.33333333333333,66.66666666666666,33.33333333333333
2023-03-31,35.0,0.003869999999999996,10,2,6,1,1,20.0,60.0,10.0,10.0,80.0,20.0
2023-04-01,40.0,0.025739999999999996,5,1,3,1,0,20.0,60.0,20.0,0.0,80.0,20.0
2023-04-02,30.0,-0.017609999999999987,10,1,7,1,1,10.0,70.0,10.0,10.0,80.0,20.0
2023-04-03,20.0,-0.04439,10,2,5,1,2,20.0,50.0,10.0,20.0,70.0,30.0
2023-04-04,55.55555555555556,0.14298888888888892,9,4,4,0,1,44.44444444444444,44.44444444444444,0.0,11.11111111111111,88.88888888888889,11.11111111111111
2023-04-05,30.0,0.018069999999999985,10,2,6,0,2,20.0,60.0,0.0,20.0,80.0,20.0
2023-04-06,20.0,0.00920999999999999,10,0,8,0,2,0.0,80.0,0.0,20.0,80.0,20.0
2023-04-07,25.0,0.1394,4,1,2,0,1,25.0,50.0,0.0,25.0,75.0,25.0
2023-04-08,50.0,0.09866666666666667,3,0,3,0,0,0.0,100.0,0.0,0.0,100.0,0.0
2023-04-09,16.666666666666664,0.03005555555555555,9,2,4,1,2,22.22222222222222,44.44444444444444,11.11111111111111,22.22222222222222,66.66666666666666,33.33333333333333
2023-04-10,20.0,0.04728,10,2,5,1,2,20.0,50.0,10.0,20.0,70.0,30.0
2023-04-11,5.0,-0.15431,10,0,7,0,3,0.0,70.0,0.0,30.0,70.0,30.0
2023-04-12,22.22222222222222,-0.039333333333333324,9,1,6,0,2,11.11111111111111,66.66666666666666,0.0,22.22222222222222,77.77777777777779,22.22222222222222
2023-04-13,60.0,0.27704,10,5,4,0,1,50.0,40.0,0.0,10.0,90.0,10.0
2023-04-14,61.111111111111114,0.25703333333333334,9,5,3,0,1,55.55555555555556,33.33333333333333,0.0,11.11111111111111,88.88888888888889,11.11111111111111
2023-04-15,35.0,0.07024,10,2,6,1,1,20.0,60.0,10.0,10.0,80.0,20.0
2023-04-16,27.77777777777778,0.0312,9,2,5,0,2,22.22222222222222,55.55555555555556,0.0,22.22222222222222,77.77777777777779,22.22222222222222
